id;category/id;category/name/ca;category/name/es;scope/id;scope/name/ca;scope/name/es;participatory_space/id;participatory_space/url;component/id;title/ca;title/es;description/ca;description/es;budget/id;budget_amount;confirmed_votes;comments;created_at;url;related_proposals;related_proposal_titles;related_proposal_urls
16;48;Dones, feminismes i diversitat sexual;Mujeres, feminismos y diversidad sexual;6;Gràcia;Gràcia;3;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia?participatory_process_slug=coproduccio-de-projectes-a-gracia;21;El mes de les dones a Gràcia;El mes de las mujeres de Gràcia;<p>Quatre caps de setmana (de dijous a diumenge) durant un mes (de setembre o octubre) que es dedicaran a fer diferents activitats relacionades amb les dones al districte de Gràcia. Activitats a cada un dels barris per apoderar les dones, donar visibilitat als grups de dones, posar en comú diferents propostes i experiències, ocupar l’espai públic, entre altres.</p><p>Amb una organització de les activitats participativa, les activitats estaran relacionades amb violències masclistes, cultura i gènere, dones i espai públic, cos i sexualitat, economia feminista i diversitat sexual, entre altres, i es duran a terme a través de l’art (música, cinema, teatre, exposicions...) i tallers i conferències.</p>;<p>Cuatro fines de semana (de jueves a domingo) durante un mes (setiembre u octubre) que se dedicarán a</p><p>realizar diferentes actividades relacionadas con las mujeres en el distrito de Gràcia. Actividades en cada uno</p><p>de los barrios, con los objetivos de empoderar a las mujeres, dar visibilidad a los grupos de mujeres, poner</p><p>en común diferentes propuestas y experiencias y ocupar el espacio público, entre otros.</p><p>Con una organización participativa de las actividades, estas estarán relacionadas con violencias machistas,</p><p>cultura y género, mujeres y espacio público, cuerpo y sexualidad, economía feminista y diversidad sexual, entre</p><p>otros temas, y se llevarán a cabo a través del arte (música, cine, teatro, exposiciones...) y talleres y conferencias.</p>;1;36000;74;0;2017-02-07 11:14:12 UTC;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia/f/21/budgets/1/projects/16;"";"";""
20;48;Dones, feminismes i diversitat sexual;Mujeres, feminismos y diversidad sexual;6;Gràcia;Gràcia;3;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia?participatory_process_slug=coproduccio-de-projectes-a-gracia;21;Passejant amb mirada de dona;Paseando con ojos de mujer;<p>Passejades pel districte de Gràcia per detectar zones considerades insegures i a través d’una aplicació indicar-les en el mapa i concretar per què és una zona insegura (poca llum,...) per dur a terme millores a les zones senyalades. Aquesta aplicació permetrà dibuixar un mapa amb les zones on es percep més sensació d’inseguretat i també posar en marxa el protocol d’acció de districte (un per barri a través de la coordinació i seguiment d’un grup per protocol d’acció) a través d’aquest mapa i de la percepció de les dones a les zones marcades.</p>;<p>Paseos por el distrito de Gràcia para detectar zonas consideradas inseguras y, mediante una aplicación,</p><p>señalizarlas en el mapa y concretar por qué se trata de una zona “insegura” (poca luz, etc.), para poder</p><p>realizar mejoras en las áreas señaladas.</p><p>Esta aplicación permitirá crear un mapa con las zonas en las que se percibe una mayor sensación de</p><p>inseguridad, así como poner en marcha el protocolo de acción de distrito (uno por barrio mediante la</p><p>coordinación y el seguimiento de un grupo por protocolo de acción) con este mapa y la percepción de las</p><p>mujeres en las zonas marcadas.</p>;1;8500;102;0;2017-02-07 11:17:49 UTC;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia/f/21/budgets/1/projects/20;"";"";""
24;48;Dones, feminismes i diversitat sexual;Mujeres, feminismos y diversidad sexual;6;Gràcia;Gràcia;3;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia?participatory_process_slug=coproduccio-de-projectes-a-gracia;21;Memòria de les dones de Gràcia;Memoria de las mujeres de Gràcia;"<p>Dissenyar i redactar una guia que serveixi com a ruta per les diferents zones del districte de Gràcia i que vincula les històries de les dones de Gràcia (col·lectius de dones, obreres, científiques, revolucionàries, artistes) amb passejades pel districte. Una guia que serveixi per a tothom sense necessitat de dinamitzadors i que, caminant pel districte,seguint les indicacions de la guia, es pugui conèixer la història de les dones de Gràcia. També es vol vincular les dones amb l’actualitat perquè siguin més visibles, (artistes,</p><p>treballadores, científiques, etcètera; totes les que hi vulguin participar).</p>";<p>Diseñar y crear una guía que sirva de ruta por las diferentes zonas del distrito de Gràcia vinculando las historias de las mujeres de Gràcia (colectivos de mujeres, obreras, científicas, revolucionarías, artistas) con paseos por el distrito. Una guía que sirva para todo el mundo sin necesidad de un dinamizador, para que al pasear por el distrito siguiendo las indicaciones de la guía se pueda conocer la historia de las mujeres de Gràcia. También se pretende vincular a las mujeres en la actualidad para hacerlas más visibles (artistas, trabajadoras, científicas, etc., en general, todas las que quieran participar).</p>;1;28000;76;0;2017-02-07 11:21:49 UTC;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia/f/21/budgets/1/projects/24;"";"";""
31;48;Dones, feminismes i diversitat sexual;Mujeres, feminismos y diversidad sexual;6;Gràcia;Gràcia;3;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia?participatory_process_slug=coproduccio-de-projectes-a-gracia;21;Cuidem les cuidadores;Cuidamos a las cuidadoras;<p>L’objectiu d’aquesta proposta és crear espais d’oci per a totes les dones que són cuidadores. La proposta consisteix a fer una diagnosi de les dones cuidadores del districte (ja que els espais d’oci per a aquest col·lectiu ja existeixen i la diagnosi permetrà arribar a més cuidadores). Aquesta proposta s’orienta cap un diagnòstic per a la millora, atès que ja existeixen serveis coincidents,</p><p>com són “Temps per a tu” i la feina que fa l’associació de cuidadores.</p>;<p>El objetivo de esta propuesta es poder crear espacios de ocio para todas las mujeres que son cuidadoras. Esta propuesta se basa en una diagnosis de las mujeres cuidadoras del distrito (puesto que estos espacios de ocio para las cuidadoras ya existen y la diagnosis permitirá llegar a cuidadoras a las que no se ha llegado). Está orientada a un diagnóstico para la mejora, puesto que ya existen servicios coincidentes, como “Tiempo para ti” y el trabajo que hace la asociación de cuidadoras.</p>;1;14000;168;1;2017-02-07 11:35:58 UTC;https://www.decidim.barcelona/processes/coproduccio-de-projectes-a-gracia/f/21/budgets/1/projects/31;"";"";""
9;42;Millorar la qualitat de l’aire i el verd urbà;Mejora en la calidad del aire y el verde urbano;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Escoles millorant el verd urbà;Escoles millorant el verd urbà;<p>Projecte pedagògic de sensibilització i acció, implicant els alumnes de primària de les escoles Auró i Llorers per re-naturalitzar un tram de l'Avinguda Roma mitjançant la cura i millora del verd urbà. Es treballarà en col·laboració amb les entitats del barri que ja desenvolupen projectes d'horticultura urbana comunitària.</p>;"<p>Projecte pedagògic de sensibilització i acció, implicant els alumnes de primària de les escoles Auró i Llorers per re-naturalitzar un tram de l'Avinguda Roma mitjançant la cura i millora del verd urbà. Es treballarà en col·laboració amb les entitats del barri que ja desenvolupen projectes d'horticultura urbana comunitària.""</p>";3;17800;197;0;2017-02-07 10:59:20 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/9;11230;Escoles millorant el verd urbà;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/11230
12;42;Millorar la qualitat de l’aire i el verd urbà;Mejora en la calidad del aire y el verde urbano;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Pla de reducció de la contaminació de vehicles comercials al barri (abans Obligatorietat en l'us de vehicles no contaminants pel desenvolupament d'activitats lucratives al barri);Pla de reducció de la contaminació de vehicles comercials al barri (abans Obligatorietat en l'us de vehicles no contaminants pel desenvolupament d'activitats lucratives al barri);<p>Fer un estudi sobre la viabilitat i l'impacte que tindria aplicar messures molt més restrictives en quant a la contaminació permessa dels vehicles que desenvolupen activitats comercials (busos turístics, taxistes, transportistes, flotes de repartiment, etc.) dins del barri.</p>;<p>Fer un estudi sobre la viabilitat i l'impacte que tindria aplicar messures molt més restrictives en quant a la contaminació permessa dels vehicles que desenvolupen activitats comercials (busos turístics, taxistes, transportistes, flotes de repartiment, etc.) dins del barri.</p>;3;52500;201;0;2017-02-07 11:09:57 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/12;10980;Pla de reducció de la contaminació de vehicles comercials al barri;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/10980
13;39;Desenvolupar polítiques per a Gent Gran;Desarrollo de políticas para la tercera edad;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Estudiar la possibilitat de posar bancs per a la gent gran a les voreres;Estudiar la possibilitat de posar bancs per a la gent gran a les voreres;<p>Molta gent gran demana llocs on seure i descansar quan passeja pels carrers de l'Eixample. A no ser que estiguin caminant per una plaça o avinguda, a les voreres dels carrers de l'Eixample no hi ha cap seient o banc (suposo que per falta d'espai). S'han de recolzar en altres elements del mobiliari urbà, o bé seure en terrasses de bar i consumir.</p>;<p>Molta gent gran demana llocs on seure i descansar quan passeja pels carrers de l'Eixample. A no ser que estiguin caminant per una plaça o avinguda, a les voreres dels carrers de l'Eixample no hi ha cap seient o banc (suposo que per falta d'espai). S'han de recolzar en altres elements del mobiliari urbà, o bé seure en terrasses de bar i consumir.</p>;3;18000;185;3;2017-02-07 11:12:12 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/13;11049;Estudiar la possibilitat de posar bancs per a la gent gran a les voreres;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/11049
14;42;Millorar la qualitat de l’aire i el verd urbà;Mejora en la calidad del aire y el verde urbano;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Campanya per difondre la situació de la qualitat de l'aire a l'Eixample;Campanya per difondre la situació de la qualitat de l'aire a l'Eixample;<p>És important donar a conèixer a la ciutadania de l'Eixample els estudis ja fets sobre la qualitat de l'aire als diferents trams dels principals carrers de l'Eixample. Seria una forma de sensibilitzar tothom de la necessitat urgent de millorar la situació actual i una justificació comprensible de les mesures que l'Ajuntament prengui al respecte.</p>;<p>És important donar a conèixer a la ciutadania de l'Eixample els estudis ja fets sobre la qualitat de l'aire als diferents trams dels principals carrers de l'Eixample. Seria una forma de sensibilitzar tothom de la necessitat urgent de millorar la situació actual i una justificació comprensible de les mesures que l'Ajuntament prengui al respecte.</p>;3;15000;193;0;2017-02-07 11:13:06 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/14;11290;Campanya per difondre la situació de la qualitat de l'aire a l'Eixample;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/11290
15;39;Desenvolupar polítiques per a Gent Gran;Desarrollo de políticas para la tercera edad;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Mapeig dels habitatges del barrio on viu gent gran, gent gran sola.;Mapeig dels habitatges del barrio on viu gent gran, gent gran sola.;<p>Fer un mapeig dels habitatges del barri, per saber on viu gent més gran de 65 i la més gran de 65 que a sobre viu sola. Recollir les condicions d'accessibilitat de les finques on es situen els habitatges d'aquestes veïnes i veïns. Treball (no disseny, ni direcció) de camp executat per persones aturades del barri.</p>;<p>Fer un mapeig dels habitatges del barri, per saber on viu gent més gran de 65 i la més gran de 65 que a sobre viu sola. Recollir les condicions d'accessibilitat de les finques on es situen els habitatges d'aquestes veïnes i veïns. Treball (no disseny, ni direcció) de camp executat per persones aturades del barri.</p>;3;30000;188;0;2017-02-07 11:14:07 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/15;11057;Mapeig dels habitatges del barrio on viu gent gran, gent gran sola. ;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/11057
17;44;Campanyes i activitats contra la violència masclista i LGTBI;Campañas y actividades contra la violencia machista y LGTBI;;"";"";4;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius?participatory_process_slug=prova-pilot-pressupostos-participatius;22;Proyecto de detección y prevención de la LGTBIfobia dentro de las escuelas.;Proyecto de detección y prevención de la LGTBIfobia dentro de las escuelas.;"<p>Llevar a cabo un proyecto de detección y prevención de la LGTBIfobia, más concretamente del llamado ""bullying homofóbico"" en las escuelas. A través del cual concienciar al alumnado, profesorado y a las familias sobre el respeto a la diversidad de las personas y de las sexualidades no normativas.</p>";"<p>Llevar a cabo un proyecto de detección y prevención de la LGTBIfobia, más concretamente del llamado ""bullying homofóbico"" en las escuelas. A través del cual concienciar al alumnado, profesorado y a las familias sobre el respeto a la diversidad de las personas y de las sexualidades no normativas.</p>";3;63000;144;0;2017-02-07 11:15:02 UTC;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/22/budgets/3/projects/17;11061;Proyecto de detección y prevención de la LGTBIfobia dentro de las escuelas.;https://www.decidim.barcelona/processes/prova-pilot-pressupostos-participatius/f/3/proposals/11061
